TERM,MAPPING,
Leaf,PO:0009025,
,,
Leaf type,,
Simple,PO:0025034,in conjunction with: PATO:0001503
Compound,PO:0020043,
,,
Leaf shape,TO:0000492,
ACEROSE,,
AWL-SHAPED,,
GLADIATE,,
HASTATE,,
CORDATE,PATO:0000948,synonym for heart-shaped
DELTOID,PATO:0001875,synonym for triangular
LANCEOLATE,PATO:0001877,
LINEAR,PATO:0001199,
ELLIPTIC,PATO:0000947,
ENSIFORM,PATO:0002235,blade-like
LYRATE,,
OBCORDATE,,
FALCATE,PATO:0002215,falciform
FLABELLATE,,
OBDELTOID,,
OBELLIPTIC,,
OBLANCEOLATE,PATO:0002330,
OBLONG,PATO:0000946,
PERFOLIATE,PATO:0001983,
QUADRATE,,
OBOVATE,PATO:0001936,
ORBICULAR,PATO:0001934,
RENIFORM,PATO:0001871,
RHOMBIC,,
OVAL,,synonym for ovate
OVATE,PATO:0001891,
ROTUND,PATO:0001499,synonym for spherical
SAGITTATE,PATO:0001881,synonym for arrow-shaped
PANDURATE,,
PELTATE,,
SPATULATE,PATO:0001937,
SUBULATE,PATO:0001954,
,,
Leaf base shape,leaf base,PO:0020040
AEQUILATERAL,,
ATTENUATE,PATO:0001982,
AURICULATE,PATO:0001981,
CORDATE,PATO:0000948,synonym for heart-shaped
CUNEATE,PATO:0001955,
HASTATE,,
OBLIQUE,PATO:0001481,sloped: A shape quality inhering in a bearer by virtue of the bearer's having an oblique or slanted direction. 
ROUNDED,PATO:0000411,synonym for circular
SAGITTATE,PATO:0001881,synonym for arrow-shaped
TRUNCATE,PATO:0000936,truncated**
,,
Leaf tip shape,leaf tip,PO:0025142
CIRROSE,,
CUSPIDATE,PATO:0001973,
ACUMINATE,PATO:0002228,
ACUTE,PATO:0000389,
EMARGINATE,PATO:0002234,
MUCRONATE,,
APICULATE,PATO:0000944,synonym for sharpness
ARISTATE,,
MUCRONULATE,,
MUTICOUS,,
ARISTULATE,,
CAUDATE,PATO:0001880,
OBCORDATE,,
OBTUSE,PATO:0001935,
RETUSE,PATO:0001974,
ROUNDED,PATO:0000411,synonym for circular
SUBACUTE,PATO:0002091,
TRUNCATE,PATO:0000936,truncated**
,,
Leaf margin,PO:0020128,
BIDENTATE,,
BIFID,PATO:0001784,synonym for bifurcated
DENTATE,PATO:0001205,
DENTICULATE,,
BIPINNATIFID,,
BISERRATE,,
DIGITATE,PATO:0001980,
DISSECTED,,
CLEFT,PATO:0000403,
CRENATE,PATO:0001889,synonym for scalloped (same as CRENULATE)
DIVIDED,PATO:0001786,synonym for split
ENTIRE,,
CRENULATE,PATO:0001889,synonym for scalloped (same as CRENATE)
CRISPED,,
EROSE,PATO:0001368,
INCISED,PATO:0001978,synonym for cut
INVOLUTE,PATO:0001962,
LACERATE,,
PEDATE,,
PINNATIFID,,
LACINIATE,,
LOBED,PATO:0001979,
PINNATILOBATE,,
PINNATISECT,,
LOBULATE,,
PALMATIFID,,
REPAND,,
REVOLUTE,PATO:0001963,
PALMATISECT,,
PARTED,,
RUNCINATE,,
SERRATE,PATO:0001206,
SERRULATE,,
SINUATE,Undulate(PATO:0000967),A shape quality inhering in a bearer by virtue of the bearer's having a sinuate margin and rippled surface.
TRIDENTATE,,
TRIFID,,
TRIPARTITE,PATO:0001890,
TRIPINNATIFID,,
,,
Leaf venation,,
RETICULATE,,
PARALLEL,PATO:0001410,striated - better than 'parallel to' (PATO0002272)